,property_id,reviewer_id,reviewer_name,review_date,review_content,head_picture
0,11156,227319468,Yolande,2018-12-05,I really enjoyed my stay in Sydney at Colleen’s place.  It was very clean and she had lots of maps and tour pamphlets to help get me around the city.,https://a0.muscache.com/im/users/3264063/profile_pic/1354183303/original.jpg
1,11156,216836846,Navneet,2018-12-08,Colleen knows a lot about Sydney and is willing to help. Room has space.,https://a0.muscache.com/im/users/8964626/profile_pic/1413999409/original.jpg
2,11156,3519648,Ian,2019-01-03,"Colleen’s place is well appointed, close to public transport and nice walks; and overall very interesting. Colleen has a wealth of hosting and life experience. She is v understanding and trustworthy. I highly recommend this place to travellers who respect a broader view of life, and who want a central, elegant location.",https://a0.muscache.com/im/pictures/user/718c3beb-1427-4207-888d-784b47dde71b.jpg
3,11156,12571798,Damien,2019-04-24,It was a fantastic place with a lot of character and the area is just beautiful. Colleen is a great host that knows Sydney better then anyone.,https://a0.muscache.com/im/pictures/user/6f546b27-7d55-4134-8dda-96ad3a3221b9.jpg
4,11156,148786164,Giulia,2019-11-29,"Colleen was a wonderful host! She’s lived such an amazing life and is full of great anecdotes. 
The flat is so lovely and home-y and really is an oasis in the center of the city!

The location is perfect for a first time in Sydney, as it’s so close to buses and trains that easily connect you to any suburb you might want to visit! Plus, it’s within walking distance of the Opera House!

I had an amazing stay with Colleen and cannot recommend her apartment more!",https://a0.muscache.com/im/pictures/user/69c84815-71b1-4e77-b7e8-0f083676855e.jpg
5,11156,28046022,Henry,2019-12-07,"Colleen is a lovely and helpful host, and her apartment is in a great spot. She shares the whole space generously, and is so helpful for finding your way around Sydney.",https://a0.muscache.com/im/pictures/user/3e095ce1-85a9-4704-8b63-9e3db336acfe.jpg
6,11156,39014431,Andreas Thomas,2019-12-09,Everything is completely uncomplicated and the location speaks for itself ... I can only recommend a stay with Colleen.,https://a0.muscache.com/im/pictures/user/e66f92da-41bf-4d1b-949e-a149b5587efd.jpg
7,11156,11468913,Linda,2019-12-17,"A wonderful and easy stay in Colleen’s home. Very comfortable, convenient and felt very welcomed in her home. Perfect location and some great little cafes around. Great for a solo traveller.",https://a0.muscache.com/im/pictures/user/964726bc-0754-4372-a52f-f48417898421.jpg
8,11156,291017301,Anke,2019-12-26,"Colleen made me feel very comfortable from the first second. She has very good Tipps. Busstop just in front of the house. Very easy to reach everything. Close to botanical gardens, nice cafes and restaurants very close. I would definitely stay at Colleens place again.",https://a0.muscache.com/im/pictures/user/dfb80caf-6784-4f13-bab8-48bc746a5763.jpg
9,11156,187604660,Edmund,2020-01-06,"Colleen has always been very kind and polite to me. She is an extremely friendly and helpful person. In addition, he always offers advice on Sydney's tourist attractions. I do not rule out that if I ever come to Sydney again I will gladly visit Colleen. I would definitely recommend this host. Edmund",https://a0.muscache.com/im/pictures/user/b62939f8-eef2-46b9-89a8-50a98add602b.jpg
